,EDGE_TYPE,EXTERNAL,GID_STS,HIDE,NEIGH_TYPE,NEIGH_WEB_CONN,NODE_TYPE,SHOW,SUSPICIOUS,TIMESTAMP,UID_STS,UUID,VERSION,WEB_CONN
130,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
131,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
132,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
133,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
134,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
135,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
136,1,1,1,0,3,1,1,1,0,1498934404660850716,0,a4b43224-b384-420d-9a4c-2ceb1f436529:b2d1bb34-5e8c-11e7-a270-080027d14c67,0,1
137,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
138,3,1,1,0,3,1,1,1,0,1498934404660850716,0,a4b43224-b384-420d-9a4c-2ceb1f436529:b2d1bb34-5e8c-11e7-a270-080027d14c67,0,1
139,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
140,3,1,1,0,3,1,1,1,0,1498934450113072197,1,a4b43224-b384-420d-9a4c-2ceb1f436529:cde9d766-5e8c-11e7-a270-080027d14c67,0,1
141,3,1,1,0,3,1,1,1,0,1498934404660850716,0,a4b43224-b384-420d-9a4c-2ceb1f436529:b2d1bb34-5e8c-11e7-a270-080027d14c67,0,1
142,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
143,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
144,1,1,1,0,3,1,1,1,0,1498934450113072197,1,a4b43224-b384-420d-9a4c-2ceb1f436529:cde9d766-5e8c-11e7-a270-080027d14c67,0,1
145,1,1,1,0,3,1,1,1,0,1498934450113072197,1,a4b43224-b384-420d-9a4c-2ceb1f436529:cde9d766-5e8c-11e7-a270-080027d14c67,0,1
146,2,1,0,0,3,1,1,1,0,1498934404659631531,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c31b4d9b-5e89-11e7-a0a5-080027d14c67,0,1
147,3,1,1,0,3,1,1,1,0,1498934404660850716,0,a4b43224-b384-420d-9a4c-2ceb1f436529:b2d1bb34-5e8c-11e7-a270-080027d14c67,0,1
148,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
149,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
150,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
151,1,1,0,0,3,1,1,1,0,1498934245782992422,0,a4b43224-b384-420d-9a4c-2ceb1f436529:c314d0d1-5e89-11e7-a09e-080027d14c67,0,1
152,1,1,0,0,3,1,1,1,0,1498934245058895976,0,9f6fe421-76f2-4f2c-a07a-88cfe8f13738:868ae7b1-5e8a-11e7-9101-080027d14c66,0,1
